id,job_title,company_name,salary_range,location,openings,requirements,search_keyword,data_year,created_at
11,C++开发工程师,武汉文网亿联科技有限公司,1.5-2.5万/月,武汉,1,"[', '1.本科及以上学历，计算机相关专业', '2.\xa0 3年以上相关工作经验，精通Linux\xa0C/C++开发，熟悉多线程，tcp/udp网络编程，熟悉rpc协议编程，熟悉常用设计模式；', '3.熟悉网络技术架构，具备高并发、流量控制、网络优化方面的丰富经验，精通流媒体网络传输协议优先；', '4.有高并发系统研发经验，熟练使用常用的性能优化方法和工具, 有大规模分布式系统应用架构设计经验优先;', '5.具备独立完成工作的能力，良好的理解和分析业务需求能力，良好的沟通和团队协作能力，以及较强的学习能力精通网络编程；', '职能类别：', 'C/C++开发工程师', '关键字：', 'C++', '分布式存储]3-4年经验, 本科",计算机软件,2022,"2025-05-01 15:37:15"
12,销售工程师,武汉科天科技有限公司,1-1.5万/月,武汉-洪山区,1,"[', '1、理工科专业，男女不限', '2.有开拓市场的思维和维系老客户的能力。', '3.思路灵活、踏实上进，具备分析问题和解决问题的能力', '4.可接受条件优秀应届生。', '\xa0薪资待遇：', '1.月底薪3000-8000元；业务提成年薪20-30万（中等业绩）左右', '2.实习期1-3个月，转正后为基本工资+提成（3-8%）+绩效工资+奖金+补贴。', '3.工作时间：上午8:30-12:00，下午1:30-5:30，周末双休，国家法定节假日带薪休息，享带薪年假', '3、每年一次及以上加薪', '地址：洪山区佳园路光谷国际大厦b座（华科大韵苑门对面）1101 1120室', '联系人：陈先生\xa0 \xa087480280 87480282\xa0 \xa0 13995680009', '职能类别：', '销售工程师', '销售代表', '关键字：', '技术型', '销售代表', '销售员', '业务员', '销售工程师', '销售', '客户代表]1年经验, 大专",仪器仪表/工业自动化,2022,"2025-05-01 15:37:15"
13,华为网络产品分销经理（武汉）,武汉宽路信息科技有限公司,0.8-1万/月,武汉-武昌区,1,"[', '一、职位描述：', '1、负责华为、H3C企业网产品线（交换机，路由器，防火墙等）的湖北省内渠道市场；，', '2、能执行公司销售策略、销售计划、量化目标；', '3、负责所属区域的产品宣传、推广和销售，集成项目跟踪、指导经销商顺利成交', '4、执行公司制定的业务商务策略，并反馈执行情况。', '二、岗位特点：', '1、工作时间：周一到周五工作，每天工作8小时，', '2、公司组织安排华为原厂培训（公司报销培训费用及考试费）；', '3、销售人员客户先期由公司分配提供，后期由销售自己开发。', '4、公司提供准客户名单及联系方式，配备专职网络商务辅助销售', '三、岗位要求：', '1、专科及以上学历，3年以上销售经验，；', '2、具备良好沟通能力、应变能力和学习能力；', '3、具备良好的人际交往能力，组织协调能力，公关能力，有清晰的工作思路；', '4、具备独立撰写商务方案能力；', '5、具备良好的职业素质及团队精神，能适应出差需要。', '6、熟悉湖北省内武汉或各地市IT渠道分销市场，与系统集成商有项目合作经验优先。', '7、熟悉华为，H3C，深信服，锐捷等品牌网络设备优先；', '四、薪资福利待遇', '01、底薪，提成透明，上不封顶；', '02、年终奖金：按照员工年度表现，发放年终奖金', '03、公司配备5G手机，报销手机费；', '04、社会保险（五险）：为员工缴纳社会保险；', '05、住房公积金：为员工缴纳住房公积金；', '06、其它福利：公司为员工提供过节费、结婚、生育礼金等多项福利；', '07、带薪年假：公司为员工提供5天带薪年假；', '08、员工活动：公司定期或不定期组织各项员工活动；', '09、培训机会：定期组织华为原厂培训，公司承担培训费及考试费，提升员工的专业知识水平；', '10、工作氛围：拥有年轻优秀的领导与同事，让你在轻松、活跃的团队氛围中共同学习、公平竞争', '职能类别：', '渠道/分销专员', '渠道/分销经理', '关键字：', '销售', '分销', '网络产品', '交换机', '华为', 'H3C', '深信服', '锐捷', '销售经理]3-4年经验",计算机服务(系统、数据服务、维修),2022,"2025-05-01 15:37:15"
14,驻场运维工程师（黄冈）,武汉市天鸿在线科技有限责任公司,5-6千/月,武汉-武昌区,1,"[', '岗位职责', '1、时间响应：当驻场单位出现安全风险问题时，***时间隔离受到网络安全风险的服务器或终端，减小事件的影响，保证业务运行以及数据信息的安全性，同时立即向驻场单位上报当前情况并协调高级工程师现场支持；', '2、安全设备系统升级：针对网络结构内网的安全软硬设备的补丁库、特征库、病毒库、版本进行手动升级，确保安全设备、系统的有效性。并建立系统升级流程，规范系统升级工作。同时针对需求，对办公计算机操作系统补丁通过软件系统进行定期升级；', '3、安全策略管理：针对网络结构内的安全软硬件设备策略配置进行定期完善，确保有效性以及策略的针对性。并建立策略变更流程，规范策略管理工作；', '4、安全设备监控：针对网络结构内的防火墙、安全审计、IPS等安全软硬件设备的攻击事件日志，进行实时监控，***时间发现网络内的攻击事件，并对简单的事件进行处理；如遇复杂事件，则发起调用应急响应服务等二线资源；', '5、其他职责：', '（1）依托驻场单位所有的安全设备，通过驻场单位上下各机构反馈，负责根据以上来源的威胁线索，核实威胁，追溯来源，评估影响范围，最终提供安全处置建议，整理安全整改报告等；', '（2）协助驻场单位内部单位建立规范的安全运维事件处理流程，提高事件处置的效果和效率；', '（3）针对驻场单位的建设状况和未来规划，协助单位内部编写相关安全建设文档；', '（4）针对安全巡检及应急事件响应过程中发现的漏洞进行修复。', '任职资格', '1.', '专科及以上学历，计算机或网络工程相关专业毕业。', '2.', '熟悉', 'Windows', '、', 'Linux', '等主流桌面操作系统。', '\xa0\xa0\xa0\xa0', '有大型办公网络桌面运维相关经验。能够快速应答用户故障反馈并能够快速排除故障。', '4.', '熟悉主流办公软件及专业软件的维护。', '5.', '具有较强的网络安全防范意识。', '6.', '吃苦耐劳，有较好的表达能力与理解能力，乐于为他人解决问题，有较好的团队合作意识。', '职能类别：', '运维工程师', '关键字：', '信息安全', '网络安全', '运维', '售后', '维护', '工程师', '技术支持]2年经验, 大专",计算机软件,2022,"2025-05-01 15:37:15"
15,市场拓展专员,湖北彩豹科技有限公司,5-8千/月,武汉,1,"[', '岗位职责：', '1、负责开展线下渠道拓展和运营的分析，并提出优化运营建议；', '2、负责省份的小微零售、便利连锁及商业综合体等新型渠道的拓展及运营工作；', '3、负责省份的新型渠道市场动态、消费者购买行为的信息收集与整理，对于新型渠道拓展提供可行性建议，协助完成新渠道拓展业务、技术流程优化；', '4、 协助部门完成总局彩票中心与各省级彩票中心之间新渠道侧的信息传递和意见反馈；', '5、制定实体渠道店面展示基础要素，规范实体渠道形象建设，持续提升实体渠道硬件水平和店面形象', '6、进行实体店经营模式研究，发现问题并进行分析解决，形成实体店经营指导意见，帮助实体店提升经营能力。', '7、相关部门及实体店对接，做好各彩票产品及营销活动在实体店内落地工作。', '任职要求：', '1、专科及以上学历，能接受出差；', '2、有快消品、耐消品行业渠道渠道建设、运营或管理经验，有区域门店管理的经验者优先；', '3、具备创新思维，出色的沟通能力和表达能力，逻辑思维强，对项目运营过程有较强的把控能力，发现问题、分析问题、解决问题的能力；', '4、具备良好的语言表达能力。', '职能类别：', '市场/营销/拓展专员', '关键字：', '拓展专员', '市场开发', '销售]无需经验",通信/电信运营、增值服务,2022,"2025-05-01 15:37:15"
16,技术工程师,湖北省信产通信服务有限公司数字科技分公司,0.8-1.2万/月,武汉-江汉区,1,"[', '1、 组织完成所负责的产品线或行业所有售前资料及培训工作；', '2、 对负责的商机签约负主要责任；', '3、 合理统筹行业商机的跟进、突破与签约工作，以实现业绩目标；', '4、 负责商机整体推进计划、阶段目标计划、客户内部关键人的梳理与突破计划的制定和汇报，并确保计划达成；', '5、 开展客户需求收集、需求分析，制定项目的技术方案和准备标书等工作；', '6、 负责合理调配公司资源，保障公司利益不受损害；', '7、 完成上级领导及部门领导交办的其他任务。', '任职资格：', '1.\xa0 具备优秀的组织协调、沟通理解及解决问题能力；', '2.\xa0 具备出色的分析、归纳、总结、汇报的能力；', '3.\xa0 擅长各类文档的设计及编写；', '4.\xa0 对所负责的产品线或行业有深度的认识，并具备方案设计、产品演示、培训演讲及基本技术交流的能力', '5.\xa0 熟练使用办公软件（WORD/EXCEL/PPT/VISIO/Project）', '6.\xa0 3年以上软件行业售前工作经验', '7.\xa0 本科及以上；专业要求：信息管理、信息工程、软件工程或计算机相关专业，条件优秀者可适当放宽要求', '具备前端技术背景者优先', '职能类别：', '售前/售后技术支持工程师]3-4年经验, 本科",计算机软件,2022,"2025-05-01 15:37:15"
17,Java开发工程师,武汉米腾科技有限公司,1-1.2万/月,武汉-东湖新技术产业开发区,1,"[', '任职要求：', '1、统招大专及以上学历，毕业满3年，计算机相关专业优先，具有3年及以上真实Java开发经验，；', '2、熟悉MVC分层设计理念；', '3、了解常用的设计模式；', '4、熟悉主流的Java框架中的几种: SpingBoot、Mybatis、Hibernate；', '5、熟悉Redis等缓存；', '6、熟悉数据库设计，并能根据数据库设计进行开发工作，精通sql优化；', '7、熟练使用SVN，GIT, Maven等项目管理和构建工具；', '8、熟悉数据结构；', '9、java基础扎实，擅长技术攻关；', '10、熟悉java stream api优先；', '11、有项目需求分析经验的优先。', '岗位职责：', '1、负责软件的设计与开发、单元测试、BUG解决等工作，按计划完成任务；', '2、负责查找、分析JAVA系统所发生的问题及快速解决问题；', '3、负责JAVA系统开发程序的性能优化；', '公司团队均为90后，年轻有活力，', '上班时间朝九晚六周末双休法定节假日同步，', '加班出差都有餐费和交通补贴，加班有加班费，', '欢迎你的加入！', '职能类别：', 'Java开发工程师', '关键字：', 'java', '开发', '软件', '工程师', '软件工程师', 'java开发', '计算机软件]2年经验, 大专",计算机软件,2022,"2025-05-01 15:37:15"
18,C++开发工程师,武汉华信云创技术服务有限公司,1.5-3万/月,武汉-江夏区,1,"[', '1、负责内核的开发和维护工作，保障系统性能和稳定性;', '2、基于Linux/LiteOS落地外设驱动开发，保证外设的***性能', '3、对OpenHarmony发行版的底层软件负责，保障软件的架构质量，以及可生产性，可维护性;', '4\xa0负责针对发行版公司的技术支持以及课程输出。', '岗位要求', '1、熟练掌握C/C++，Linux/LiteOS内核和Device模型，具备一个及以上大型实际软件项目经验，独立承担过关键子模块的开发工作;', '2、具备良好的沟通协调能力和团队合作精神、良好的学习、动手以及解决问题的能力。', '职能类别：', 'C/C++开发工程师', '关键字：', 'C++', '软件工程师', '嵌入式', 'linux]1年经验, 本科",计算机软件,2022,"2025-05-01 15:37:15"
19,高薪php，带薪年假，福利多多,武汉安培教育科技有限公司,0.8-1万/月,武汉-武昌区,1,"[', '岗位职责：', '1、开发平台PC站、微信小程序以及APP接口。', '2、负责公司平台易用性改进、界面技术优化和性能优化。', '3、负责公司平台运营维护工作，网站的的维护、调优和故障处理，完成维护保障工作。', '4、负责公司日常网络维护、办公电脑软硬件维护等工作。', '任职要求：', '1、计算机相关专业，大专以上学历。', '2、了解网站的设计、规划和制作流程、能够利用独立开发网站，善于沟通。', '3、熟练使用php，mysql，js，jquery等相关技术。', '4、有PHP开发经验，精通掌握thinkphp框架，熟悉主流数据库，如mysq、SQL\xa0Server等数据库。', '5、有良好的代码编程习惯及较强的文档编写能力;能及时应对突发事件。', '6、具备专业的IT软硬件知识：服务器、计算机设备、操作系统、数据库等。', '7.\xa0具有团队精神协作能力、学习能力和吃苦耐劳的精神。', '8、精通服务器、路由器、交换机、无线网络设备等网络产品的部署、维护优先。', '职能类别：', 'PHP开发工程师', '关键字：', 'php', 'PHP开发', '软件开发', '开发]1年经验, 大专",教育/培训/院校,2022,"2025-05-01 15:37:15"
20,软件设计实习生+住宿（双休）.,武汉酷韵软件开发有限公司,6-8千/月,武汉-洪山区,1,"[', '要求：', '1、对游戏动漫，动画制作，平面设计\xa0，软件设计，视频剪辑互联网IT行业感兴趣。', '2、接收无经验或经验薄弱求职者，但需要热爱互联网行业，想在互联网行业长期发展；', '3、工作积极、主动，有团队合作精神；根据项目目标，完成相应任务；', '4、逻辑思维能力强，愿意在IT行业长期发展。', '对于基础薄弱求职者，会有技术指导，项目经理指导参与项目制作。', '工作时间：', '1、早9:00-下午6：00，中午休息2小时；', '2、周末双休', '3、法定节假日，正常休息，带薪年假；', '待遇：', '1、福利齐全；双休；五险一金；', '2、完整的培养体系和晋升机制；给予完善的绩效考核、年终奖金及定期调薪；', '3、丰富的集体活动（定期的拓展、旅游以及年会）', '职能类别：', '工程/机械绘图员', '关键字：', '互联网计算机', '平面设计', '美工电商', '机械', '环境艺术设计', '机电', '室内设计', '园林景观设计]无需经验",计算机软件,2022,"2025-05-01 15:37:15"
